ref,name,lat,long
p1,Scetis,30.35,30.2
p2, Lycopolis,31.5,30.57
p3, Alexandria,,
p4, Syria ,37.5,37.5
p5 ,Palestine,32.5,37.5
p6, Iberia ,41.836468,44.6891385
p7 ,Eleutheropolis,31.6123197,34.89194457
p8  ,Egypt  ,30.2,31.13
p9 ,Pherme ,30.776003,30.368868
