name,lat,long,uri
Edessa,37.1625575,38.781432,658457
Ephesus,37.9421,27.34551256,599612
Constantinople,41.00631144,28.959006,520998
Antioch,36.20138,36.161749,658381
Sinai,29.5,34,746813
Caesarea,37.2525033,35.903735,658378
Tabennisi,32.38018,26.0996985,786125
Alexandria,31.12,29.55,
Cucusus,38.0116,36.293,
Sohag,26.33,31.42,
